Set	a	b	c	d	e
Set20000	1.0	0.2	0.6	0.4	0.8
Set20001	1.0	0.6	0.8	0.2	0.4
Set20002	0.6	0.2	0.8	1.0	0.4
Set20003	0.4	0.2	0.8	1.0	0.6
Set20004	0.8	0.4	0.6	1.0	0.2
Set20005	0.8	0.4	1.0	0.6	0.2
Set20006	0.2	0.6	1.0	0.8	0.4
Set20007	0.8	0.4	1.0	0.6	0.2
Set20008	0.8	0.4	1.0	0.6	0.2
Set20009	0.2	1.0	0.6	0.4	0.8
Set20010	0.2	0.4	0.6	0.8	1.0
Set20011	0.2	0.6	0.8	0.4	1.0
Set20012	0.6	1.0	0.8	0.4	0.2
Set20013	0.8	0.4	0.6	1.0	0.2
Set20014	0.2	1.0	0.8	0.4	0.6
Set20015	0.2	0.6	0.4	1.0	0.8
Set20016	0.2	0.8	0.6	1.0	0.4
Set20017	0.6	0.8	0.2	1.0	0.4
Set20018	1.0	0.2	0.6	0.4	0.8
Set20019	0.4	0.8	0.2	0.6	1.0
Set20020	1.0	0.8	0.4	0.6	0.2
Set20021	0.4	0.2	1.0	0.6	0.8
Set20022	0.8	0.2	1.0	0.6	0.4
Set20023	0.6	1.0	0.4	0.8	0.2
Set20024	0.6	0.2	1.0	0.4	0.8
Set20025	1.0	0.2	0.6	0.8	0.4
Set20026	0.2	1.0	0.8	0.6	0.4
Set20027	0.8	0.2	0.6	0.4	1.0
Set20028	0.2	1.0	0.6	0.8	0.4
Set20029	0.4	0.2	0.6	0.8	1.0
Set20030	1.0	0.8	0.2	0.6	0.4
Set20031	0.6	0.2	0.4	1.0	0.8
Set20032	0.6	0.4	1.0	0.8	0.2
Set20033	0.6	0.4	0.8	0.2	1.0
Set20034	0.2	0.8	0.6	1.0	0.4
Set20035	0.2	0.6	0.8	0.4	1.0
Set20036	0.4	0.2	1.0	0.8	0.6
Set20037	0.2	0.4	0.8	0.6	1.0
Set20038	0.8	1.0	0.6	0.4	0.2
Set20039	0.8	0.6	0.4	1.0	0.2
Set20040	1.0	0.6	0.2	0.4	0.8
Set20041	1.0	0.6	0.4	0.8	0.2
Set20042	0.2	0.6	0.4	1.0	0.8
Set20043	0.8	0.6	0.4	0.2	1.0
Set20044	0.6	0.4	0.2	1.0	0.8
Set20045	0.8	0.4	1.0	0.2	0.6
Set20046	0.4	1.0	0.8	0.2	0.6
Set20047	0.6	0.4	1.0	0.8	0.2
Set20048	0.2	0.6	1.0	0.4	0.8
Set20049	0.4	0.6	0.2	1.0	0.8
