Set	a	b	c	d	e	rs	rp
Set20000	0.33076567165640336	0.030405498655323937	0.14960594668705218	0.053037022167086834	0.24046246040419017	0.9999999999999998	0.9853722866054974
Set20001	0.10129077865800995	0.06400607317597862	0.08684924578597897	0.037176357020645256	0.047897682828086485	0.9999999999999998	0.9934025093910699
Set20002	0.04601684409477802	0.022225700847603558	0.09764400325716016	0.14299970241507987	0.0324593578677671	0.9999999999999998	0.9536606307049295
Set20003	0.03893112962143064	0.030162845544932204	0.07993036706098011	0.14388599830202087	0.05302568509885519	0.9999999999999998	0.9265091425515934
Set20004	0.0200786849449629	0.023964685313241252	0.016771139667781654	0.025677239098725657	0.02341205370234123	0.19999999999999996	0.028700674341120724
Set20005	0.06888468601028763	0.032579721451123755	0.10455044347903863	0.046458299397937663	0.02856579246096702	0.9999999999999998	0.9515193970793439
Set20006	0.03514068017755245	0.11111067425806109	0.19927772712314007	0.15706159674467135	0.06069671487282424	0.9999999999999998	0.9957532411348392
Set20007	0.11229033337034322	0.05205590155229456	0.15237559669683087	0.060644814100217714	0.03400769107626911	0.9999999999999998	0.9621927304165588
Set20008	0.16600562805586883	0.05895838014334853	0.2264684963755268	0.0943474338922421	0.03846509658767405	0.9999999999999998	0.9772239389826106
Set20009	0.017146932744722454	0.055674006040742796	0.03282134094470934	0.02834260134015132	0.03386725909872501	0.9999999999999998	0.931280084414475
Set20010	0.03324374741162306	0.034474928503345326	0.04890719790604847	0.06691911692624275	0.09901031245055025	0.9999999999999998	0.9468352619098381
Set20011	0.021834221973724643	0.08320470988507134	0.09027587161348116	0.033252871409810814	0.16551806178015593	0.9999999999999998	0.9555075708172869
Set20012	0.06365131373545463	0.10564108906572034	0.08806604784476213	0.02994013963371711	0.03120918410860518	0.8999999999999998	0.9705808606179789
Set20013	0.031816364998410784	0.02657589752056777	0.02478961872503571	0.04041506622661828	0.021361070549564265	0.8999999999999998	0.9237889700351282
Set20014	0.028850708899907263	0.16064981270893586	0.11370308823703368	0.051549521661207076	0.06621539995990267	0.9999999999999998	0.9747609556010962
Set20015	0.022811160864632418	0.060001061963498525	0.03805047115055149	0.153778291071065	0.07882081597870028	0.9999999999999998	0.9367687366385574
Set20016	0.034197545918502215	0.08889645422966208	0.06054695155436818	0.1288117541320999	0.034366107920269506	0.9999999999999998	0.9594404328810187
Set20017	0.08931288112137381	0.15411963587259658	0.02894214830072739	0.22992856828628616	0.04138128965957533	0.9999999999999998	0.972221753276307
Set20018	0.3249952983801032	0.046003905400821554	0.11909082661408033	0.06523464847207083	0.19910667624133727	0.9999999999999998	0.9595534398859202
Set20019	0.03415761651209914	0.07914457595954705	0.02217787527123627	0.05588342238933286	0.13271980848250875	0.9999999999999998	0.9617314357195443
Set20020	0.09872014130160511	0.05375234692787456	0.03425768412914132	0.04849727209688315	0.02087544441824929	0.9999999999999998	0.9392738436169416
Set20021	0.027244310336884014	0.026324114778889962	0.06690083297236815	0.0292147399803927	0.0460004585072481	0.9999999999999998	0.903800276999972
Set20022	0.13701660202886234	0.02838988011920951	0.1767506707478127	0.0818480505618343	0.04084483627586177	0.9999999999999998	0.9831362311826671
Set20023	0.06648187880843337	0.14692028304948357	0.04840554825219956	0.08547606859655787	0.0380672778894795	0.9999999999999998	0.9362801551825654
Set20024	0.04853303165520362	0.03266376511648983	0.09646728748706801	0.04144256847518957	0.057176583274457626	0.9999999999999998	0.9160571837949341
