Set30000	base	a	e	c	d	b
Set30001	base	e	a	c	d	b
Set30002	base	b	c	e	a	d
Set30003	base	b	a	e	d	c
Set30004	base	c	a	b	d	e
Set30005	base	e	c	a	b	d
Set30006	base	d	a	b	c	e
Set30007	base	d	a	b	c	e
Set30008	base	b	e	d	c	a
Set30009	base	d	c	b	a	e
Set30010	base	c	e	a	b	d
Set30011	base	e	b	a	d	c
Set30012	base	e	a	c	d	b
Set30013	base	a	b	e	c	d
Set30014	base	e	d	b	c	a
Set30015	base	b	e	c	a	d
Set30016	base	d	e	c	b	a
Set30017	base	b	a	d	c	e
Set30018	base	e	b	d	c	a
Set30019	base	e	a	d	c	b
Set30020	base	a	c	b	e	d
Set30021	base	d	c	e	a	b
Set30022	base	e	a	b	d	c
Set30023	base	b	a	c	d	e
Set30024	base	a	c	d	e	b
Set30025	base	d	b	a	c	e
Set30026	base	a	c	d	b	e
Set30027	base	d	b	a	c	e
Set30028	base	a	c	e	d	b
Set30029	base	a	e	c	d	b
Set30030	base	e	a	d	b	c
Set30031	base	a	d	c	e	b
Set30032	base	e	b	a	d	c
Set30033	base	c	d	b	a	e
Set30034	base	c	e	a	d	b
Set30035	base	c	d	b	a	e
Set30036	base	a	e	d	b	c
Set30037	base	d	a	e	c	b
Set30038	base	d	c	b	e	a
Set30039	base	a	e	b	d	c
Set30040	base	d	a	c	e	b
Set30041	base	e	d	c	b	a
Set30042	base	b	d	e	a	c
Set30043	base	c	d	e	a	b
Set30044	base	d	a	b	c	e
Set30045	base	c	a	b	e	d
Set30046	base	b	d	a	c	e
Set30047	base	e	a	c	b	d
Set30048	base	b	a	e	d	c
Set30049	base	d	b	c	a	e
