Set	a	b	c	d	e
Set30000	0.2	1.0	0.6	0.8	0.4
Set30001	0.4	1.0	0.6	0.8	0.2
Set30002	0.8	0.2	0.4	1.0	0.6
Set30003	0.4	0.2	1.0	0.8	0.6
Set30004	0.4	0.6	0.2	0.8	1.0
Set30005	0.6	0.8	0.4	1.0	0.2
Set30006	0.4	0.6	0.8	0.2	1.0
Set30007	0.4	0.6	0.8	0.2	1.0
Set30008	1.0	0.2	0.8	0.6	0.4
Set30009	0.8	0.6	0.4	0.2	1.0
Set30010	0.6	0.8	0.2	1.0	0.4
Set30011	0.6	0.4	1.0	0.8	0.2
Set30012	0.4	1.0	0.6	0.8	0.2
Set30013	0.2	0.4	0.8	1.0	0.6
Set30014	1.0	0.6	0.8	0.4	0.2
Set30015	0.8	0.2	0.6	1.0	0.4
Set30016	1.0	0.8	0.6	0.2	0.4
Set30017	0.4	0.2	0.8	0.6	1.0
Set30018	1.0	0.4	0.8	0.6	0.2
Set30019	0.4	1.0	0.8	0.6	0.2
Set30020	0.2	0.6	0.4	1.0	0.8
Set30021	0.8	1.0	0.4	0.2	0.6
Set30022	0.4	0.6	1.0	0.8	0.2
Set30023	0.4	0.2	0.6	0.8	1.0
Set30024	0.2	1.0	0.4	0.6	0.8
Set30025	0.6	0.4	0.8	0.2	1.0
Set30026	0.2	0.8	0.4	0.6	1.0
Set30027	0.6	0.4	0.8	0.2	1.0
Set30028	0.2	1.0	0.4	0.8	0.6
Set30029	0.2	1.0	0.6	0.8	0.4
Set30030	0.4	0.8	1.0	0.6	0.2
Set30031	0.2	1.0	0.6	0.4	0.8
Set30032	0.6	0.4	1.0	0.8	0.2
Set30033	0.8	0.6	0.2	0.4	1.0
Set30034	0.6	1.0	0.2	0.8	0.4
Set30035	0.8	0.6	0.2	0.4	1.0
Set30036	0.2	0.8	1.0	0.6	0.4
Set30037	0.4	1.0	0.8	0.2	0.6
Set30038	1.0	0.6	0.4	0.2	0.8
Set30039	0.2	0.6	1.0	0.8	0.4
Set30040	0.4	1.0	0.6	0.2	0.8
Set30041	1.0	0.8	0.6	0.4	0.2
Set30042	0.8	0.2	1.0	0.4	0.6
Set30043	0.8	1.0	0.2	0.4	0.6
Set30044	0.4	0.6	0.8	0.2	1.0
Set30045	0.4	0.6	0.2	1.0	0.8
Set30046	0.6	0.2	0.8	0.4	1.0
Set30047	0.4	0.8	0.6	1.0	0.2
Set30048	0.4	0.2	1.0	0.8	0.6
Set30049	0.8	0.4	0.6	0.2	1.0
