Set	a	b	c	d	e	rs	rp
Set10000	0.06915990153829965	0.06307825811253864	0.09939026572985432	0.037880870328392824	0.12246391241020294	0.9999999999999998	0.9858546517905108
Set10001	0.05290890418333627	0.09077182450312449	0.09937657302754965	0.08194056082643775	0.08853499696447664	0.8999999999999998	0.8460514973866672
Set10002	0.11749378037579772	0.0453432012008379	0.07140918548057906	0.0551569042047686	0.1485587102023529	0.9999999999999998	0.967947935655222
Set10003	0.11172177037523134	0.05824387662717134	0.0373002027327628	0.07934860319603376	0.11077772768688221	0.9999999999999998	0.9769132392313177
Set10004	0.16170061138929492	0.06971856030080803	0.09738328582641054	0.05931489329597717	0.1029740156383746	0.9999999999999998	0.9424292690251153
Set10005	0.24634510870520232	0.17631068429729635	0.11409330581138855	0.057022847977211355	0.06853989778988712	0.8999999999999998	0.9496715610902333
Set10006	0.2249405308817427	0.1407886833874964	0.05788961532315229	0.10109580644902738	0.08719664735907617	0.9999999999999998	0.9484927483459448
Set10007	0.1448690951360878	0.06459170851128071	0.155185556191053	0.058140494461934034	0.08337527950898016	0.9999999999999998	0.9504312185669186
Set10008	0.11356604587325492	0.05437254886636311	0.09490212867572945	0.05077230590482884	0.09031273411511298	0.9999999999999998	0.9650391600701212
Set10009	0.08412281228301399	0.09125915436614951	0.1121711630649247	0.052714390253430166	0.061573197593377316	0.4999999999999999	0.6253813052064343
Set10010	0.12191019020015781	0.060915337404810366	0.11577645435103678	0.0598477284757154	0.062359458371447074	0.7999999999999998	0.8555781273593084
Set10011	0.09415179389640183	0.05683689363131594	0.11224246236473989	0.07310097006555205	0.04499446926313544	0.9999999999999998	0.9953365894958157
Set10012	0.040972375665509264	0.07112939518110539	0.1332629511679776	0.04602107560904134	0.1677004849547712	0.9999999999999998	0.9603231369049035
Set10013	0.06218475068227114	0.10978261383420396	0.1280431282473844	0.09121766383220375	0.055301980856999666	0.9999999999999998	0.9884862618402472
Set10014	0.07229987621670708	0.12367663487490876	0.060656703557478986	0.041659027197552545	0.09158305131090294	0.9999999999999998	0.9841024193862759
Set10015	0.04563468525101033	0.10461253835583706	0.1452929853111825	0.17967222932227944	0.11058902215794675	0.9999999999999998	0.9756036778848305
Set10016	0.11149734676054757	0.09480819582254518	0.0727672138296167	0.14981287124474074	0.04630523935265829	0.9999999999999998	0.9915765957153351
Set10017	0.08416464611093388	0.3088964750293195	0.06550603147791922	0.2374922700979235	0.15021409562358923	0.9999999999999998	0.9816179098464962
Set10018	0.06431533352413277	0.11256542926742075	0.05043252088175343	0.08190145451118258	0.06891091563861518	0.9999999999999998	0.9538460425053884
Set10019	0.07921298381385378	0.14417860065477361	0.03231731395242521	0.04769364619017913	0.0806172624908672	0.9999999999999998	0.9443337186758332
Set10020	0.12922658428719203	0.04090398942728424	0.1202656794963215	0.0663940021414553	0.05373884565082099	0.7999999999999998	0.8733162705217722
Set10021	0.08714701430288008	0.040784839331279854	0.05201509928170078	0.0768442990129019	0.04124845920461451	0.9999999999999998	0.9552426696806882
Set10022	0.15906037132109718	0.07026986304331917	0.06099075142442145	0.1481552554802963	0.22637896879060626	0.8999999999999998	0.9475481094101563
Set10023	0.1232745831771217	0.07577774041946661	0.04245094954897988	0.04739863340870587	0.09116827559136775	0.9999999999999998	0.9783323748014372
Set10024	0.22777377694490375	0.03542922193475373	0.0656811121841121	0.18167397913076733	0.07782851566188731	0.9999999999999998	0.9587267121961173
Set10025	0.06194484585732696	0.12142200459285601	0.06533466415452749	0.04308795294288548	0.04125373291925272	0.8999999999999998	0.8718896714275067
Set10026	0.2825854050988156	0.34706723017550134	0.1351883369296779	0.17189316702705182	0.07810197459672219	0.9999999999999998	0.9865703906761522
Set10027	0.04202621938942852	0.09858392643498892	0.16124926520184402	0.09888726760123889	0.056165187712926334	0.9999999999999998	0.9551258759782307
Set10028	0.09389297994370316	0.1092573826701031	0.045141119436911015	0.06127370762940987	0.03213906625176799	0.8999999999999998	0.9127111438161124
Set10029	0.06435346355983262	0.1791222620639643	0.10558020822200442	0.04249025052173361	0.11784640029556748	0.9999999999999998	0.9776673463488633
Set10030	0.061762761192712734	0.2645821791083012	0.20673139686184971	0.11995483538115725	0.06749275714948244	0.9999999999999998	0.9682259024597193
Set10031	0.2892771963895371	0.24095779885674062	0.17771184421317354	0.11332812289936722	0.11450930708206453	0.8999999999999998	0.9711680993646408
Set10032	0.13758623399755132	0.07720331342722675	0.06307555537709963	0.08209676229806762	0.1329669160869006	0.9999999999999998	0.9452895177806266
Set10033	0.36439492942419627	0.062300755116131756	0.22234013077778858	0.2545751019614808	0.13269203084916337	0.9999999999999998	0.9905275451553284
Set10034	0.07608058579681942	0.03890790429817215	0.08963886939416499	0.13209912538219049	0.046748390236266535	0.8999999999999998	0.9388967640650175
Set10035	0.08715257685064659	0.12546580328991885	0.16413063784792437	0.06800154652472834	0.12510069807040602	0.9999999999999998	0.9739587534986598
Set10036	0.03737273914377459	0.058803101183178774	0.04907527165136516	0.08940709955735138	0.0639007835607065	0.7999999999999998	0.8301826189425113
Set10037	0.18038967773111292	0.056084908689043256	0.1928726531415551	0.10847745288526733	0.07024334466829607	0.8999999999999998	0.9387792738562829
Set10038	0.03271591896341075	0.0910101734988199	0.057955864477221786	0.04728840499101428	0.09559367181451628	0.8999999999999998	0.91414354587419
Set10039	0.23330636612040512	0.11179271989384432	0.08539428129286952	0.17088388987383107	0.05169939684447067	0.9999999999999998	0.9839903892080248
Set10040	0.05741523712285446	0.10998080835070267	0.09361563721086141	0.07865547227544412	0.05705453885207168	0.7999999999999998	0.7172710506423364
