Set	a	b	c	d	e	rs	rp
Set10000	0.06711693845341771	0.060583357347401945	0.09399151342012468	0.04071509857202393	0.11634258069267434	0.9999999999999998	0.9853063687156256
Set10001	0.05289745955340097	0.08767136656618812	0.09525783991634795	0.07805640033312855	0.0817480451596444	0.8999999999999998	0.8934832025808215
Set10002	0.11427942075954589	0.04592505016758541	0.06941150703662635	0.056484439965414635	0.14225819097074632	0.9999999999999998	0.9664256463750744
Set10003	0.11495376806206448	0.060923604832077816	0.04283232806640713	0.08113781305848822	0.11097270739104304	0.9999999999999998	0.9832939789760564
Set10004	0.151486898404823	0.06881027362925274	0.09365884218050968	0.05981442831944983	0.10057999844960541	0.9999999999999998	0.9481343357952366
Set10005	0.22241442441099035	0.16049688843392262	0.10776801348539633	0.060931358588828144	0.06824029422139466	0.8999999999999998	0.9517898759487213
Set10006	0.19770091033048598	0.12788850809608354	0.05904642134126248	0.0930363122285307	0.08257967127093435	0.9999999999999998	0.9461650389979768
Set10007	0.13479356318674462	0.06361847569086587	0.14331529629624362	0.05798492731879812	0.08201060020773354	0.9999999999999998	0.9535223209782066
Set10008	0.10553826622433293	0.05461484634464242	0.08929485836566387	0.05095032876541772	0.08500676741294555	0.9999999999999998	0.967821276897635
Set10009	0.08017423999583517	0.08178041401577385	0.10320498981611914	0.05109370668951185	0.05761399834555292	0.4999999999999999	0.6787223483233008
Set10010	0.11528640692457526	0.06131826417244701	0.11111337740782645	0.06090483587997386	0.06284010640852467	0.7999999999999998	0.86140346929522
Set10011	0.09068502003552659	0.054455070210149836	0.10553478758879409	0.07129416946081801	0.04520081081224858	0.9999999999999998	0.994310069616005
Set10012	0.0420249677522192	0.07429891226080243	0.1281663242494775	0.04852104859352813	0.17493306692835353	0.9999999999999998	0.9627953897053504
Set10013	0.06289917324304273	0.10250596238222653	0.12240199427656595	0.08487160688207551	0.053655423118915135	0.9999999999999998	0.9937589592322494
Set10014	0.06959358053897058	0.11723528708076969	0.060662834392311016	0.043838674237023145	0.0907032050827492	0.9999999999999998	0.9844882462466008
Set10015	0.050152122289083945	0.09796246255616714	0.13762566173080815	0.17080028359421773	0.1033809946027543	0.9999999999999998	0.9805168962593269
Set10016	0.10392656497018382	0.08867153022946617	0.06927215148628985	0.13904088720393704	0.04860016758831198	0.9999999999999998	0.989543897732679
Set10017	0.07805949713629723	0.2715432482231086	0.06478718360568236	0.20601357332843506	0.13194155727310386	0.9999999999999998	0.9776888643025087
