Set10000	base	d	b	a	c	e
Set10001	base	a	e	d	b	c
Set10002	base	b	d	c	a	e
Set10003	base	c	b	d	e	a
Set10004	base	d	b	c	e	a
Set10005	base	e	d	c	b	a
Set10006	base	c	e	d	b	a
Set10007	base	d	b	e	a	c
Set10008	base	d	b	e	c	a
Set10009	base	e	b	d	a	c
Set10010	base	b	d	e	a	c
Set10011	base	e	b	d	a	c
Set10012	base	a	d	b	c	e
Set10013	base	e	a	d	b	c
Set10014	base	d	c	a	e	b
Set10015	base	a	b	e	c	d
Set10016	base	e	c	b	a	d
Set10017	base	c	a	e	d	b
Set10018	base	c	a	e	d	b
Set10019	base	c	d	a	e	b
Set10020	base	e	b	d	a	c
Set10021	base	b	e	c	d	a
Set10022	base	b	c	d	a	e
Set10023	base	c	d	b	e	a
Set10024	base	b	c	e	d	a
Set10025	base	e	d	c	a	b
Set10026	base	e	c	d	a	b
Set10027	base	a	e	b	d	c
Set10028	base	e	c	d	b	a
Set10029	base	d	a	c	e	b
Set10030	base	a	e	d	c	b
Set10031	base	e	d	c	b	a
Set10032	base	c	b	d	e	a
Set10033	base	b	e	c	d	a
Set10034	base	e	b	a	c	d
Set10035	base	d	a	e	b	c
Set10036	base	c	a	e	b	d
Set10037	base	b	e	d	c	a
Set10038	base	a	c	d	b	e
Set10039	base	e	c	b	d	a
Set10040	base	e	d	a	b	c
Set10041	base	d	e	b	c	a
Set10042	base	a	c	b	e	d
Set10043	base	e	a	b	c	d
Set10044	base	e	d	c	a	b
Set10045	base	d	e	b	a	c
Set10046	base	d	a	e	c	b
Set10047	base	e	d	c	b	a
Set10048	base	b	a	c	e	d
Set10049	base	d	a	e	b	c
