Set	a	b	c	d	e
Set40000	0.4	1.0	0.2	0.8	0.6
Set40001	1.0	0.8	0.6	0.2	0.4
Set40002	0.2	0.4	0.6	0.8	1.0
Set40003	0.4	0.6	0.8	0.2	1.0
Set40004	0.4	0.8	0.6	0.2	1.0
Set40005	0.4	0.6	1.0	0.2	0.8
Set40006	1.0	0.8	0.2	0.6	0.4
Set40007	1.0	0.4	0.8	0.2	0.6
Set40008	0.4	0.2	0.6	1.0	0.8
Set40009	0.8	0.4	0.2	0.6	1.0
Set40010	0.2	0.8	0.6	0.4	1.0
Set40011	0.2	0.4	0.8	1.0	0.6
Set40012	1.0	0.4	0.8	0.6	0.2
Set40013	0.6	0.8	1.0	0.2	0.4
Set40014	0.2	1.0	0.6	0.8	0.4
Set40015	0.2	0.8	0.4	0.6	1.0
Set40016	0.4	0.2	0.6	1.0	0.8
Set40017	0.6	0.8	1.0	0.2	0.4
Set40018	0.4	0.2	0.8	1.0	0.6
Set40019	0.2	0.4	0.6	0.8	1.0
Set40020	0.6	1.0	0.2	0.4	0.8
Set40021	1.0	0.4	0.6	0.2	0.8
Set40022	1.0	0.6	0.2	0.4	0.8
Set40023	1.0	0.2	0.6	0.8	0.4
Set40024	0.8	1.0	0.4	0.6	0.2
Set40025	0.2	0.4	0.6	0.8	1.0
Set40026	0.2	1.0	0.6	0.8	0.4
Set40027	0.2	1.0	0.8	0.6	0.4
Set40028	0.2	0.8	1.0	0.4	0.6
Set40029	0.4	1.0	0.6	0.8	0.2
Set40030	0.8	0.2	0.4	0.6	1.0
Set40031	0.2	0.6	0.8	1.0	0.4
Set40032	0.6	0.2	0.4	1.0	0.8
Set40033	0.8	0.6	0.2	0.4	1.0
Set40034	0.8	0.4	1.0	0.6	0.2
Set40035	0.6	0.4	0.2	1.0	0.8
Set40036	0.6	0.2	0.4	0.8	1.0
Set40037	0.6	0.4	0.8	0.2	1.0
Set40038	1.0	0.4	0.6	0.2	0.8
Set40039	0.8	0.6	1.0	0.4	0.2
Set40040	0.8	0.4	1.0	0.6	0.2
Set40041	0.8	0.6	0.4	0.2	1.0
Set40042	0.2	0.4	0.6	0.8	1.0
Set40043	0.8	1.0	0.2	0.4	0.6
Set40044	0.8	1.0	0.6	0.2	0.4
Set40045	0.2	1.0	0.4	0.6	0.8
Set40046	0.2	0.8	0.4	0.6	1.0
Set40047	0.4	0.8	1.0	0.6	0.2
Set40048	0.6	0.4	0.8	1.0	0.2
Set40049	0.8	0.2	0.4	1.0	0.6
