Set40000	base	c	a	e	d	b
Set40001	base	d	e	c	b	a
Set40002	base	a	b	c	d	e
Set40003	base	d	a	b	c	e
Set40004	base	d	a	c	b	e
Set40005	base	d	a	b	e	c
Set40006	base	c	e	d	b	a
Set40007	base	d	b	e	c	a
Set40008	base	b	a	c	e	d
Set40009	base	c	b	d	a	e
Set40010	base	a	d	c	b	e
Set40011	base	a	b	e	c	d
Set40012	base	e	b	d	c	a
Set40013	base	d	e	a	b	c
Set40014	base	a	e	c	d	b
Set40015	base	a	c	d	b	e
Set40016	base	b	a	c	e	d
Set40017	base	d	e	a	b	c
Set40018	base	b	a	e	c	d
Set40019	base	a	b	c	d	e
Set40020	base	c	d	a	e	b
Set40021	base	d	b	c	e	a
Set40022	base	c	d	b	e	a
Set40023	base	b	e	c	d	a
Set40024	base	e	c	d	a	b
Set40025	base	a	b	c	d	e
Set40026	base	a	e	c	d	b
Set40027	base	a	e	d	c	b
Set40028	base	a	d	e	b	c
Set40029	base	e	a	c	d	b
Set40030	base	b	c	d	a	e
Set40031	base	a	e	b	c	d
Set40032	base	b	c	a	e	d
Set40033	base	c	d	b	a	e
Set40034	base	e	b	d	a	c
Set40035	base	c	b	a	e	d
Set40036	base	b	c	a	d	e
Set40037	base	d	b	a	c	e
Set40038	base	d	b	c	e	a
Set40039	base	e	d	b	a	c
Set40040	base	e	b	d	a	c
Set40041	base	d	c	b	a	e
Set40042	base	a	b	c	d	e
Set40043	base	c	d	e	a	b
Set40044	base	d	e	c	a	b
Set40045	base	a	c	d	e	b
Set40046	base	a	c	d	b	e
Set40047	base	e	a	d	b	c
Set40048	base	e	b	a	c	d
Set40049	base	b	c	e	a	d
